external_ref_id,our_trade_id,timestamp,symbol,quantity,price,counterparty_id
EXT000001,TRD000001,2024-01-15T17:27:00.000Z,MSFT,211,541.21,CP1
EXT000002,TRD000002,2024-01-15T14:39:00.000Z,AMZN,6042,514.85,CP6
EXT000003,TRD000004,2024-01-15T14:59:00.000Z,JPM,2596,320.94999999,CP9
EXT000004,TRD000006,2024-01-15T18:07:00.000Z,GOOGL,4694,233.57,CP17
EXT000005,TRD000007,2024-01-15T20:19:00.000Z,META,4467,230.06,CP9
EXT000006,TRD000009,2024-01-15T17:14:00.000Z,GOOGL,3880,537.58,CP9
EXT000007,TRD000010,2024-01-15T14:01:00.000Z,JPM,9568,56.32,CP18
EXT000008,TRD000012,2024-01-15T17:44:00.000Z,TSLA,4261,408.22,CP15
EXT000009,TRD000013,2024-01-15T14:43:00.000Z,MSFT,3327,185.21,CP17
EXT000010,TRD000014,2024-01-15T15:32:00.000Z,INVALID_SYM,2713,492.82,CP12
EXT000011,TRD000015,2024-01-15T18:01:00.000Z,GOOGL,6562,319.52,CP7
EXT000012,TRD000017,2024-01-15T20:17:00.000Z,META,8303,357.16,CP7
EXT000013,TRD000018,2024-01-15T20:12:00.000Z,JPM,7124,259.11,CP11
EXT000014,TRD000019,2024-01-15T19:20:00.000Z,AAPL,9442,303.15,CP10
EXT000015,TRD000020,2024-01-15T19:12:00.000Z,JPM,6042,161.60,CP12
EXT000016,TRD000021,2024-01-15T14:36:00.000Z,META,5362,448.86,CP9
EXT000017,TRD000022,2024-01-15T16:46:00.000Z,META,1998,496.77,CP5
EXT000018,TRD000026,2024-01-15T14:45:00.000Z,BAC,2339,426.83,CP18
EXT000019,TRD000027,2024-01-15T16:06:00.000Z,META,153,463.91999999,CP1
EXT000020,TRD000028,2024-01-15T14:35:00.000Z,AMZN,6520,127.10999998999999,CP14
EXT000021,TRD000029,2024-01-15T20:51:00.000Z,INVALID_SYM,5779,393.08,CP8
EXT000022,TRD000030,2024-01-15T19:41:00.000Z,AAPL,,,CP2
EXT000023,TRD000031,2024-01-15T18:24:00.000Z,MSFT,6053,80.84,CP15
EXT000024,TRD000032,2024-01-15T14:01:00.000Z,BAC,1357,464.36,CP1
EXT000025,TRD000033,2024-01-15T19:41:00.000Z,BAC,5676,444.81,CP11
EXT000026,TRD000034,2024-01-15T17:31:00.000Z,TSLA,8192,150.78,CP15
EXT000027,TRD000036,2024-01-15T18:32:00.000Z,JPM,4122,389.48,CP16
EXT000028,TRD000037,2024-01-15T14:01:00.000Z,META,8289,141.30999999000002,CP2
EXT000029,TRD000038,2024-01-15T18:30:00.000Z,NVDA,2530,283.90,CP10
EXT000030,TRD000040,2024-01-15T16:21:00.000Z,META,5047,75.64,CP5
EXT000031,TRD000041,2024-01-15T17:30:00.000Z,JPM,9587,187.50,CP8
EXT000032,TRD000044,2024-01-15T19:32:00.000Z,AMZN,5896,123.25,CP2
EXT000033,TRD000046,2024-01-15T20:20:00.000Z,AAPL,1784,380.37,CP19
EXT000034,TRD000047,2024-01-15T19:26:00.000Z,NVDA,1325,139.29,CP6
EXT000035,TRD000048,2024-01-15T20:19:00.000Z,AMZN,8121,144.52,CP19
EXT000036,TRD000049,2024-01-15T18:40:00.000Z,MSFT,6142,289.06,CP2
EXT000037,TRD000050,2024-01-15T16:54:00.000Z,META,2500,128.37,CP5
EXT000038,TRD000054,2024-01-15T17:08:00.000Z,JPM,1730,116.88999998999999,CP20
EXT000039,TRD000057,2024-01-15T14:22:00.000Z,INVALID_SYM,5522,147.06,CP10
EXT000040,TRD000059,2024-01-15T20:00:00.000Z,AMZN,9472,350.18,CP7
EXT000041,TRD000062,2024-01-15T16:29:00.000Z,TSLA,957,478.21,CP5
EXT000042,TRD000063,2024-01-15T16:04:00.000Z,MSFT,5978,385.55,CP2
EXT000043,TRD000064,2024-01-15T15:05:00.000Z,AAPL,5703,69.32,CP3
EXT000044,TRD000065,2024-01-15T19:18:00.000Z,AMZN,3851,332.91,CP18
EXT000045,TRD000066,2024-01-15T17:34:00.000Z,MSFT,4096,136.23,CP11
EXT000046,TRD000067,2024-01-15T20:59:00.000Z,GOOGL,2627,209.58999999000002,CP3
EXT000047,TRD000069,2024-01-15T18:43:00.000Z,NVDA,9247,246.71,CP8
EXT000048,TRD000070,2024-01-15T14:01:00.000Z,JPM,4804,418.34,CP12
EXT000049,TRD000072,2024-01-15T14:53:00.000Z,BAC,5031,518.39,CP1
EXT000050,TRD000073,2024-01-15T16:14:00.000Z,GOOGL,2789,507.78,CP13
EXT000051,TRD000074,2024-01-15T19:32:00.000Z,BAC,6866,379.91,CP19
EXT000052,TRD000077,2024-01-15T16:52:00.000Z,NVDA,1563,399.20,CP9
EXT000053,TRD000078,2024-01-15T16:12:00.000Z,META,2793,486.04,CP19
EXT000054,TRD000081,2024-01-15T15:25:00.000Z,AMZN,7838,169.26,CP8
EXT000055,TRD000084,2024-01-15T19:31:00.000Z,MSFT,1864,152.10,CP18
EXT000056,TRD000086,2024-01-15T15:28:00.000Z,META,8576,457.79,CP8
EXT000057,TRD000089,2024-01-15T20:13:00.000Z,TSLA,2522,342.08,CP7
EXT000058,TRD000090,2024-01-15T18:10:00.000Z,BAC,4669,257.29,CP7
EXT000059,TRD000093,2024-01-15T17:04:00.000Z,JPM,5795,184.78,CP4
EXT000060,TRD000095,2024-01-15T16:02:00.000Z,GOOGL,9666,399.99,CP7
