trade_id,timestamp,symbol,quantity,price,buyer_id,seller_id,trade_status
TRD000001,2024-01-15T15:59:39.000Z,GOOGL,9140,171.47999999,BUY28,SEL2,EXECUTED
TRD000002,2024-01-15T16:43:56.000Z,AAPL,7602,463.39,BUY18,SEL23,EXECUTED
TRD000003,2024-01-15T18:49:27.000Z,MSFT,2736,350.47,BUY19,SEL5,EXECUTED
TRD000004,1/15/2024 12:17:17,MSFT,4798,314.61,BUY33,SEL2,EXECUTED
TRD000005,1705351086,NVDA,3062,248.41,BUY12,SEL33,EXECUTED
TRD000006,1/15/2024 14:32:23,MSFT,3045,89.41,BUY49,SEL19,EXECUTED
TRD000007,2024-01-15T19:06:00.000Z,JPM,280,325.27,BUY9,SEL27,EXECUTED
TRD000008,1705336994,MSFT,8346,331.09,BUY15,SEL37,CANCELLED
TRD000009,2024-01-15T19:36:49.000Z,AMZN,2653,305.44999999,BUY17,SEL5,EXECUTED
TRD000010,2024-01-15T15:51:40.000Z,NVDA,4702,480.41999999,BUY50,SEL19,EXECUTED
TRD000011,2024-01-15T19:50:32.000Z,AMZN,7435,93.45999999,BUY21,SEL44,EXECUTED
TRD000011,2024-01-15T19:50:32.000Z,AMZN,7435,93.45999999,BUY21,SEL44,EXECUTED
TRD000012,2024-01-15T14:42:31.000Z,NVDA,5149,443.69,BUY32,SEL2,EXECUTED
TRD000013,2024-01-15T14:45:18.000Z,TSLA,1579,128.40,BUY28,SEL2,EXECUTED
TRD000014,2024-01-15T14:46:17.000Z,MSFT,1208,331.14999998999997,BUY32,SEL41,CANCELLED
TRD000015,2024-01-15T17:40:48.000Z,GOOGL,4514,207.58,BUY43,SEL9,EXECUTED
TRD000016,2024-01-15T14:10:21.000Z,JPM,4870,246.83,BUY8,SEL39,EXECUTED
TRD000017,2024-01-15T20:05:30.000Z,AAPL,1470,215.78,BUY10,SEL36,EXECUTED
TRD000018,1705343815,BAC,2988,510.00,BUY3,SEL30,EXECUTED
TRD000019,2024-01-15T16:40:39.000Z,GOOGL,7091,212.73,BUY21,SEL12,EXECUTED
TRD000020,2024-01-15T20:53:11.000Z,NVDA,1831,307.41999999,BUY32,SEL33,CANCELLED
TRD000021,2024-01-15T15:50:24.000Z,AAPL,1029,91.54,BUY25,SEL22,EXECUTED
TRD000022,2024-01-15T15:23:54.000Z,NVDA,7190,445.75,BUY41,SEL28,CANCELLED
TRD000023,2024-01-15T17:04:51.000Z,META,1761,74.18,BUY18,SEL17,EXECUTED
TRD000024,2024-01-15T17:27:38.000Z,BAC,1670,,BUY42,SEL22,EXECUTED
TRD000025,2024-01-15T19:49:23.000Z,META,6787,71.83,BUY9,SEL15,EXECUTED
TRD000026,2024-01-15T15:43:25.000Z,TSLA,4364,367.74,BUY20,SEL40,EXECUTED
TRD000027,2024-01-15T18:37:12.000Z,GOOGL,8040,353.54999999,BUY11,SEL11,EXECUTED
TRD000028,2024-01-15T18:56:22.000Z,NVDA,3438,301.80,BUY28,SEL7,CANCELLED
TRD000029,1705348655,GOOGL,1699,299.84,BUY23,SEL8,EXECUTED
TRD000030,2024-01-15T16:06:12.000Z,META,6669,67.34,BUY26,SEL33,EXECUTED
